title	label1	label2	label3
Into Thin Air: A Personal Account of the Mount Everest Disaster	non-fiction	adventure	memoir
Carrie	horror	fiction	paranormal
Running with Scissors	memoir	non-fiction	biography
World War Z: An Oral History of the Zombie War	horror	fiction	zombies
Inferno (Robert Langdon, #4)	fiction	mystery	thriller
Number the Stars	fiction	historical-fiction	classics
Along Came a Spider (Alex Cross, #1)	mystery	fiction	thriller
Misery	horror	fiction	thriller
Sharp Objects	mystery	fiction	thriller
Bridge to Terabithia	young-adult	fiction	childrens
Marked (House of Night, #1)	young-adult	vampires	fantasy
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change	non-fiction	self-help	business
A Midsummer Night's Dream	classics	plays	fiction
Extremely Loud and Incredibly Close	fiction	contemporary	historical-fiction
Wonder	young-adult	fiction	realistic-fiction
The Cat in the Hat	picture-books	fiction	poetry
Cinder (The Lunar Chronicles, #1)	young-adult	fantasy	science-fiction
The Cuckoo's Calling (Cormoran Strike, #1)	mystery	fiction	crime
Shiver (The Wolves of Mercy Falls, #1)	romance	fiction	supernatural
Atlas Shrugged	fiction	classics	philosophy
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time	non-fiction	memoir	biography
Alice in Wonderland	classics	fantasy	fiction
The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)	fiction	historical-fiction	mystery
The Scorch Trials (Maze Runner, #2)	young-adult	dystopia	science-fiction
How to Win Friends and Influence People	non-fiction	personal-development	leadership
Under the Tuscan Sun	travel	non-fiction	memoir
Big Little Lies	mystery	chick-lit	contemporary
Ella Enchanted	fantasy	young-adult	fiction
The Sun Also Rises	classics	fiction	literature
A Tree Grows in Brooklyn	classics	historical-fiction	fiction
Kiss the Girls (Alex Cross, #2)	mystery	fiction	thriller
The Nightingale	historical-fiction	fiction	historical
Never Let Me Go	fiction	science-fiction	dystopia
P.S. I Love You	romance	chick-lit	fiction
Rebecca	classics	fiction	mystery
Flowers for Algernon	fiction	classics	science-fiction
Like Water for Chocolate	fiction	romance	magical-realism
Snow Flower and the Secret Fan	historical-fiction	fiction	china
The Godfather	fiction	classics	crime
An Abundance of Katherines	young-adult	contemporary	fiction
Foundation (Foundation #1)	science-fiction	fiction	classics
The Ocean at the End of the Lane	fiction	fantasy	horror
A Light in the Attic	poetry	childrens	fiction
Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)	fantasy	fiction	young-adult
Delirium (Delirium, #1)	romance	fantasy	fiction
The Pelican Brief	mystery	suspense	crime
Coraline	fantasy	young-adult	fiction
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	fantasy	fiction	humor
On the Road	classics	fiction	travel
The Rosie Project (Don Tillman, #1)	contemporary	humor	fiction
The Lucky One	romance	fiction	chick-lit
The Fountainhead	fiction	classics	philosophy
The Hunt for Red October (Jack Ryan Universe, #4)	fiction	thriller	suspense
Watership Down (Watership Down, #1)	classics	fiction	fantasy
Is Everyone Hanging Out Without Me? (And Other Concerns)	non-fiction	humor	memoir
Cutting for Stone	fiction	historical-fiction	africa
The Voyage of the Dawn Treader (Chronicles of Narnia, #3)	classics	young-adult	childrens
Treasure Island	classics	fiction	adventure
The Son of Neptune (The Heroes of Olympus, #2)	fantasy	young-adult	mythology
11/22/63	fiction	historical-fiction	science-fiction
The Very Hungry Caterpillar Board Book	childrens	picture-books	fiction
Cat's Cradle	fiction	classics	science-fiction
The Time Machine	classics	science-fiction	fiction
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back	faith	christianity	non-fiction
The Boy in the Striped Pajamas	historical-fiction	young-adult	fiction
Heart of Darkness	classics	fiction	literature
Safe Haven	romance	fiction	chick-lit
The Secret (The Secret, #1)	self-help	non-fiction	spirituality
I Know This Much Is True	fiction	contemporary	literary-fiction
Pet Sematary	horror	fiction	thriller
She's Come Undone	fiction	contemporary	chick-lit
The Wise Man's Fear (The Kingkiller Chronicle, #2)	fantasy	fiction	epic-fantasy
Can You Keep a Secret?	chick-lit	romance	fiction
City of Fallen Angels (The Mortal Instruments, #4)	fantasy	young-adult	paranormal
Good in Bed (Cannie Shapiro, #1)	chick-lit	fiction	romance
The Thorn Birds	historical-romance	fiction	historical-fiction
The Graveyard Book	fantasy	young-adult	fiction
The Light Between Oceans	fiction	historical-fiction	australia
Inkheart (Inkworld, #1)	young-adult	fantasy	fiction
Who Moved My Cheese?	non-fiction	business	self-help
A Walk in the Woods	non-fiction	travel	humor
I Know Why the Caged Bird Sings	non-fiction	classics	memoir
Orphan Train	historical-fiction	fiction	historical
City of Lost Souls (The Mortal Instruments, #5)	fantasy	paranormal	romance
Where'd You Go, Bernadette	fiction	humor	contemporary
Where the Red Fern Grows	classics	fiction	young-adult
Neverwhere	fantasy	fiction	urban-fantasy
The Unbearable Lightness of Being	fiction	classics	philosophy
Fangirl	young-adult	contemporary	romance
A Prayer for Owen Meany	fiction	classics	literature
White Oleander	fiction	contemporary	chick-lit
Legend (Legend, #1)	romance	fantasy	fiction
Nineteen Minutes	fiction	contemporary	chick-lit
The Last Lecture	non-fiction	biography	inspirational
The Eye of the World (Wheel of Time, #1)	fantasy	fiction	epic-fantasy
The Pact	fiction	romance	contemporary
The Magician's Nephew (Chronicles of Narnia, #6)	childrens	christian	magic
Still Alice	contemporary	fiction	psychology
Reflected in You (Crossfire, #2)	romance	erotica	contemporary
James and the Giant Peach	childrens	fantasy	fiction
1st to Die (Women's Murder Club, #1)	mystery	fiction	crime
The Ultimate Hitchhiker's Guide to the Galaxy	science-fiction	fiction	humor
One Day	fiction	romance	contemporary
Goodnight Moon	childrens	classics	picture-books
I Am Number Four (Lorien Legacies, #1)	young-adult	fantasy	science-fiction
The Iliad	classics	poetry	fiction
The Casual Vacancy	fiction	mystery-thriller	fantasy
The Runaway Jury	fiction	thriller	mystery
Naked	humor	non-fiction	memoir
Eldest (The Inheritance Cycle, #2)	young-adult	fantasy	dragons
The Wonderful Wizard of Oz (Oz, #1)	classics	fiction	childrens
Prince Caspian (Chronicles of Narnia, #2)	classics	childrens	adventure
We Were Liars	mystery	fiction	romance
'Salem's Lot	vampires	horror	thriller
Fear and Loathing in Las Vegas	fiction	non-fiction	classics
Clockwork Prince (The Infernal Devices, #2)	fantasy	young-adult	paranormal
Yes Please	non-fiction	memoir	humor
Othello	classics	plays	drama
Beloved	fiction	classics	historical-fiction
Graceling (Graceling Realm, #1)	fantasy	young-adult	romance
The Bad Beginning (A Series of Unfortunate Events, #1)	fiction	childrens	fantasy
All Quiet on the Western Front	classics	fiction	historical-fiction
Oh, The Places You'll Go!	childrens	picture-books	fiction
And the Mountains Echoed	historical-fiction	contemporary	adult-fiction
Do Androids Dream of Electric Sheep?	dystopia	cyberpunk	fantasy
Oliver Twist	classics	fiction	literature
The Screwtape Letters	fiction	classics	christian
Anna and the French Kiss (Anna and the French Kiss, #1)	young-adult	romance	contemporary
How the Grinch Stole Christmas!	childrens	classics	fiction
V for Vendetta	graphic-novels	comics	fiction
John Adams	history	biography	non-fiction
Odd Thomas (Odd Thomas, #1)	horror	fiction	mystery
The Subtle Knife (His Dark Materials, #2)	fantasy	young-adult	fiction
Stargirl (Stargirl, #1)	young-adult	fiction	realistic-fiction
The Red Pyramid (Kane Chronicles, #1)	fantasy	young-adult	mythology
Stranger in a Strange Land	science-fiction	fiction	classics
Dress Your Family in Corduroy and Denim	humor	non-fiction	memoir
The BFG	childrens	fantasy	classics
A Short History of Nearly Everything	history	non-fiction	science
The Call of the Wild	classics	fiction	adventure
The Death Cure (Maze Runner, #3)	young-adult	dystopia	science-fiction
Stardust	fantasy	fiction	young-adult
The Namesake	india	novels	literary-fiction
A Discovery of Witches (All Souls Trilogy, #1)	fantasy	fiction	paranormal
Norwegian Wood	fiction	japan	romance
Where the Heart Is	fiction	chick-lit	contemporary
Will Grayson, Will Grayson	young-adult	contemporary	fiction
A Million Little Pieces	non-fiction	biography	fiction
Frostbite (Vampire Academy, #2)	young-adult	vampires	fantasy
Quiet: The Power of Introverts in a World That Can't Stop Talking	non-fiction	psychology	self-help
Island of the Blue Dolphins (Island of the Blue Dolphins, #1)	young-adult	fiction	historical-fiction
The Crucible	classics	plays	fiction
Hatchet (Brian's Saga, #1)	young-adult	fiction	adventure
The Final Empire (Mistborn, #1)	fantasy	fiction	epic-fantasy
The Strange Case of Dr. Jekyll and Mr. Hyde	classics	fiction	horror
The Lorax	classics	fantasy	environment
Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)	humor	childrens	fiction
Throne of Glass (Throne of Glass, #1)	young-adult	romance	magic
Shadow Kiss (Vampire Academy, #3)	young-adult	vampires	fantasy
For Whom the Bell Tolls	classics	fiction	literature
Hotel on the Corner of Bitter and Sweet	historical-fiction	fiction	historical
Perfume: The Story of a Murderer	fiction	historical-fiction	classics
Fast Food Nation: The Dark Side of the All-American Meal	non-fiction	food	health
The Tales of Beedle the Bard	fantasy	young-adult	fiction
Neuromancer	fiction	science-fiction	cyberpunk
A Farewell to Arms	classics	fiction	literature
The Tell-Tale Heart and Other Writings	classics	fiction	horror
The Art of War	non-fiction	philosophy	politics
Defending Jacob	fiction	mystery	thriller
Breakfast of Champions	classics	science-fiction	humor
The New Drawing on the Right Side of the Brain	education	abandoned	writing
Bel Canto	fiction	contemporary	literary-fiction
Guns, Germs, and Steel: The Fates of Human Societies	history	non-fiction	science
Fried Green Tomatoes at the Whistle Stop Cafe	fiction	historical-fiction	chick-lit
Things Fall Apart (The African Trilogy, #1)	fiction	classics	africa
The Undomestic Goddess	chick-lit	romance	fiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate	non-fiction	self-help	relationships
The Three Musketeers	classics	fiction	historical-fiction
Little Bee	historical-fiction	fiction	adult-fiction
Evermore (The Immortals, #1)	young-adult	fantasy	paranormal
The Witches	childrens	fantasy	fiction
The Thirteenth Tale	fiction	mystery	historical-fiction
Spirit Bound (Vampire Academy, #5)	young-adult	paranormal	vampires
Blood Promise (Vampire Academy, #4)	young-adult	vampires	fantasy
Message in a Bottle	romance	fiction	chick-lit
The Paris Wife	historical-fiction	fiction	historical
Harry Potter Boxset (Harry Potter, #1-7)	fiction	fantasy	adventure
The Elite (The Selection, #2)	young-adult	romance	dystopia
The Name of the Rose	fiction	historical-fiction	mystery
Go Ask Alice	fiction	non-fiction	classics
A Confederacy of Dunces	fiction	humor	literature
The Importance of Being Earnest	classics	plays	fiction
The Mark of Athena (The Heroes of Olympus, #3)	fantasy	young-adult	mythology
The Color of Magic (Discworld, #1; Rincewind #1)	fantasy	fiction	humor
Kafka on the Shore	fiction	magical-realism	japan
Red Dragon (Hannibal Lecter, #1)	horror	fiction	thriller
I, Robot (Robot #0.1)	fiction	classics	short-stories
Dark Lover (Black Dagger Brotherhood, #1)	romance	paranormal	vampires
Crescendo (Hush, Hush, #2)	young-adult	angels	fantasy
Before I Fall	young-adult	contemporary	romance
The God of Small Things	fiction	india	contemporary
The Invention of Wings	historical-fiction	fiction	adult-fiction
What Alice Forgot	fiction	chick-lit	contemporary
A Brief History of Time	science	non-fiction	physics
Fall of Giants (The Century Trilogy, #1)	historical-fiction	fiction	historical
Under the Dome	horror	fiction	science-fiction
Snow Crash	science-fiction	fiction	cyberpunk
Just Listen	young-adult	romance	contemporary
Winnie-the-Pooh (Winnie-the-Pooh, #1)	fiction	fantasy	classics
Before I Go to Sleep	fiction	mystery	thriller
A Study in Scarlet	classics	mystery	fiction
Brisingr (The Inheritance Cycle, #3)	fantasy	young-adult	dragons
The Purpose Driven Life: What on Earth Am I Here for?	christian	non-fiction	religion
Betrayed (House of Night, #2)	romance	supernatural	fiction
Storm Front (The Dresden Files, #1)	fantasy	urban-fantasy	mystery
Northanger Abbey	classics	fiction	romance
The 5th Wave (The 5th Wave, #1)	young-adult	science-fiction	dystopia
Cold Mountain	historical-fiction	fiction	historical
If You Give a Mouse a Cookie	picture-books	childrens	fiction
Something Blue (Darcy & Rachel, #2)	chick-lit	fiction	romance
A Streetcar Named Desire	plays	classics	drama
The Historian	fiction	historical-fiction	fantasy
Station Eleven	fiction	science-fiction	dystopia
A Man Called Ove	fiction	contemporary	humor
Clockwork Princess (The Infernal Devices, #3)	fantasy	young-adult	romance
The Good Earth (House of Earth, #1)	china	literature	asia
Ways of Seeing	non-fiction	philosophy	art
Dragonfly in Amber (Outlander, #2)	historical-fiction	romance	fantasy
Holy Bible: King James Version	religion	classics	non-fiction
In Her Shoes	chick-lit	fiction	romance
The Hobbit: Graphic Novel	fantasy	classics	fiction
The Brief Wondrous Life of Oscar Wao	fiction	novels	magical-realism
Their Eyes Were Watching God	classics	fiction	historical-fiction
Fantastic Beasts and Where to Find Them	young-adult	fiction	magic
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban	non-fiction	biography	memoir
Mansfield Park	fiction	romance	literature
Man's Search for Meaning	non-fiction	psychology	philosophy
In the Woods (Dublin Murder Squad, #1)	mystery	fiction	crime
The God Delusion	non-fiction	religion	science
Where She Went (If I Stay, #2)	young-adult	romance	contemporary
The World According to Garp	fiction	classics	literature
Killing Floor (Jack Reacher, #1)	thriller	mystery	fiction
Robinson Crusoe	classics	fiction	adventure
The Prince	classics	philosophy	history
The Amber Spyglass (His Dark Materials, #3)	fantasy	young-adult	fiction
Wizard's First Rule (Sword of Truth, #1)	fantasy	fiction	epic-fantasy
The Kitchen House	historical-fiction	fiction	historical
Franny and Zooey	fiction	classics	short-stories
Choke	fiction	contemporary	humor
The Brothers Karamazov	classics	literature	russian-literature
The City of Ember (Book of Ember, #1)	young-adult	fantasy	dystopia
The Andromeda Strain	science-fiction	thriller	fiction
The Green Mile	horror	fiction	fantasy
The Prophet	poetry	philosophy	classics
Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)	graphic-novels	comics	history
Untamed (House of Night, #4)	young-adult	vampires	fantasy
Speaker for the Dead (Ender's Saga, #2)	science-fiction	fiction	science
Mere Christianity	christian	religion	theology
The Secret History	fiction	mystery	contemporary
A Heartbreaking Work of Staggering Genius	fiction	memoir	non-fiction
The Clan of the Cave Bear (Earth's Children, #1)	historical-fiction	fiction	romance
Black Beauty	classics	fiction	childrens
War and Peace	classics	fiction	historical-fiction
American Psycho	fiction	horror	classics
The Princess Diaries (The Princess Diaries, #1)	young-adult	romance	chick-lit
The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)	mystery	fiction	africa
The Walking Dead, Vol. 01: Days Gone Bye	graphic-novels	zombies	comics
2001: A Space Odyssey (Space Odyssey, #1)	science-fiction	fiction	classics
Redeeming Love	religion	novels	classics
